X,pre1,pre2,level,post
~K|K|V,[|[|[~K]K]V],| | ~ K K V ,| | V ~ K ? ? K ? ? ? ? ? ,K ~ K | V | 
W|K|T-~Y,[-[|[|WK]T][~Y]],- | | W K T ~ Y ,- | ~ | T Y ? W K ? ? ? ? ? ,W K | T | Y ~ - 
R^T-~J|~I,[-[^RT][|[~J][~I]]],- ^ R T | ~ J ~ I ,- ^ | R T ~ ~ ? ? ? ? J ? I ? ,R T ^ J ~ I ~ | - 
~X|H^Q^I^~C,[|[~X][^[^[^HQ]I][~C]]],| ~ X ^ ^ ^ H Q I ~ C ,| ~ ^ X ? ^ ~ ? ? ? ^ I C ? ? ? ? H Q ? ? ? ? ? ,X ~ H Q ^ I ^ C ~ ^ | 
S-X|C^~F,[-S[|X[^C[~F]]]],- S | X ^ C ~ F ,- S | ? ? X ^ ? ? ? ? C ~ ? ? ? ? ? ? F ? ,S X C F ~ ^ | - 
~F|E|~S,[|[|[~F]E][~S]],| | ~ F E ~ S ,| | ~ ~ E S ? F ? ? ? ? ? ? ,F ~ E | S ~ | 
~N^C-A,[-[^[~N]C]A],- ^ ~ N C A ,- ^ A ~ C ? ? N ? ? ? ? ? ,N ~ C ^ A - 
P-~U^~U,[-P[^[~U][~U]]],- P ^ ~ U ~ U ,- P ^ ? ? ~ ~ ? ? U ? U ? ,P U ~ U ~ ^ - 
E|J|K^F,[|[|EJ][^KF]],| | E J ^ K F ,| | ^ E J K F ,E J | K F ^ | 
~K^~D-R,[-[^[~K][~D]]R],- ^ ~ K ~ D R ,- ^ R ~ ~ ? ? K ? D ? ? ? ,K ~ D ~ ^ R - 
~F|E^Q^~C,[|[~F][^[^EQ][~C]]],| ~ F ^ ^ E Q ~ C ,| ~ ^ F ? ^ ~ ? ? ? E Q C ? ,F ~ E Q ^ C ~ ^ | 
N|~G-~D|W,[-[|N[~G]][|[~D]W]],- | N ~ G | ~ D W ,- | | N ~ ~ W ? ? G ? D ? ? ? ,N G ~ | D ~ W | - 
~Q|D-~Y-U,[-[|[~Q]D][-[~Y]U]],- | ~ Q D - ~ Y U ,- | - ~ D ~ U Q ? ? ? Y ? ? ? ,Q ~ D | Y ~ U - - 
~D^~W-~O,[-[^[~D][~W]][~O]],- ^ ~ D ~ W ~ O ,- ^ ~ ~ ~ O ? D ? W ? ? ? ? ,D ~ W ~ ^ O ~ - 
~Y-C|T|~L-G,[-[~Y][-[|[|CT][~L]]G]],- ~ Y - | | C T ~ L G ,- ~ - Y ? | G ? ? ? | ~ ? ? ? ? ? C T L ? ? ? ,Y ~ C T | L ~ | G - - 
K^D^P,[^[^KD]P],^ ^ K D P ,^ ^ P K D ? ? ,K D ^ P ^ 
~L|P^~W,[|[~L][^P[~W]]],| ~ L ^ P ~ W ,| ~ ^ L ? P ~ ? ? ? ? ? W ? ,L ~ P W ~ ^ | 
N^~L-E^W,[-[^N[~L]][^EW]],- ^ N ~ L ^ E W ,- ^ ^ N ~ E W ? ? L ? ? ? ? ? ,N L ~ ^ E W ^ - 
~A^G|S|~V|S,[|[|[|[^[~A]G]S][~V]]S],| | | ^ ~ A G S ~ V S ,| | S | ~ ? ? ^ S V ? ? ? ~ G ? ? ? ? ? ? ? A ? ? ? ? ? ? ? ? ? ? ,A ~ G ^ S | V ~ | S | 
~H|~A|D-~V-T,[-[|[|[~H][~A]]D][-[~V]T]],- | | ~ H ~ A D - ~ V T ,- | - | D ~ T ~ ~ ? ? V ? ? ? H ? A ? ? ? ? ? ? ? ? ,H ~ A ~ | D | V ~ T - - 
~B|R|~Q|C,[|[|[|[~B]R][~Q]]C],| | | ~ B R ~ Q C ,| | C | ~ ? ? ~ R Q ? ? ? B ? ? ? ? ? ? ? ? ,B ~ R | Q ~ | C | 
~X^Y|~H,[|[^[~X]Y][~H]],| ^ ~ X Y ~ H ,| ^ ~ ~ Y H ? X ? ? ? ? ? ? ,X ~ Y ^ H ~ | 
~B|U^~S,[|[~B][^U[~S]]],| ~ B ^ U ~ S ,| ~ ^ B ? U ~ ? ? ? ? ? S ? ,B ~ U S ~ ^ | 
~R|P-~G|M-A,[-[|[~R]P][-[|[~G]M]A]],- | ~ R P - | ~ G M A ,- | - ~ P | A R ? ? ? ~ M ? ? ? ? ? ? ? G ? ? ? ? ? ,R ~ P | G ~ M | A - - 
R-Z-~X-~U-~W,[-R[-Z[-[~X][-[~U][~W]]]]],- R - Z - ~ X - ~ U ~ W ,- R - ? ? Z - ? ? ? ? ~ - ? ? ? ? X ? ~ ~ ? ? ? ? ? ? ? U ? W ? ,R Z X ~ U ~ W ~ - - - - 
G|~K^~M^~I^~I,[|G[^[^[^[~K][~M]][~I]][~I]]],| G ^ ^ ^ ~ K ~ M ~ I ~ I ,| G ^ ? ? ^ ~ ? ? ^ ~ I ? ? ? ~ ~ I ? ? ? ? ? ? K ? M ? ? ? ? ? ? ? ,G K ~ M ~ ^ I ~ ^ I ~ ^ | 
X^~Z-~S|F,[-[^X[~Z]][|[~S]F]],- ^ X ~ Z | ~ S F ,- ^ | X ~ ~ F ? ? Z ? S ? ? ? ,X Z ~ ^ S ~ F | - 
B|Q^Z-Y,[-[|B[^QZ]]Y],- | B ^ Q Z Y ,- | Y B ^ ? ? ? ? Q Z ? ? ,B Q Z ^ | Y - 
A^~C^~Q,[^[^A[~C]][~Q]],^ ^ A ~ C ~ Q ,^ ^ ~ A ~ Q ? ? ? C ? ? ? ? ,A C ~ ^ Q ~ ^ 
S^~X-K-~B^H,[-[^S[~X]][-K[^[~B]H]]],- ^ S ~ X - K ^ ~ B H ,- ^ - S ~ K ^ ? ? X ? ? ? ~ H ? ? ? ? ? ? ? B ? ? ? ,S X ~ ^ K B ~ H ^ - - 
~C^~M^P-~O,[-[^[^[~C][~M]]P][~O]],- ^ ^ ~ C ~ M P ~ O ,- ^ ~ ^ P O ? ~ ~ ? ? ? ? ? C ? M ? ? ? ? ? ? ,C ~ M ~ ^ P ^ O ~ - 
~U-F^I^~C,[-[~U][^[^FI][~C]]],- ~ U ^ ^ F I ~ C ,- ~ ^ U ? ^ ~ ? ? ? F I C ? ,U ~ F I ^ C ~ ^ - 
~I|~U^~F-~X|~H,[-[|[~I][^[~U][~F]]][|[~X][~H]]],- | ~ I ^ ~ U ~ F | ~ X ~ H ,- | | ~ ^ ~ ~ I ? ~ ~ X ? H ? ? ? ? U ? F ? ? ? ? ? ? ? ,I ~ U ~ F ~ ^ | X ~ H ~ | - 
Z-~F^R,[-Z[^[~F]R]],- Z ^ ~ F R ,- Z ^ ? ? ~ R ? ? F ? ? ? ,Z F ~ R ^ - 
~O-~D|Q-~F^~X,[-[~O][-[|[~D]Q][^[~F][~X]]]],- ~ O - | ~ D Q ^ ~ F ~ X ,- ~ - O ? | ^ ? ? ? ~ Q ~ ~ ? ? ? D ? ? ? F ? X ? ,O ~ D ~ Q | F ~ X ~ ^ - - 
~N^B|~V,[|[^[~N]B][~V]],| ^ ~ N B ~ V ,| ^ ~ ~ B V ? N ? ? ? ? ? ? ,N ~ B ^ V ~ | 
~R^A|~C-M,[-[|[^[~R]A][~C]]M],- | ^ ~ R A ~ C M ,- | M ^ ~ ? ? ~ A C ? ? ? R ? ? ? ? ? ? ? ? ,R ~ A ^ C ~ | M - 
H-N-~B,[-H[-N[~B]]],- H - N ~ B ,- H - ? ? N ~ ? ? ? ? B ? ,H N B ~ - - 
~M-~Z|B^K,[-[~M][|[~Z][^BK]]],- ~ M | ~ Z ^ B K ,- ~ | M ? ~ ^ ? ? ? Z ? B K ,M ~ Z ~ B K ^ | - 
I|C-~U-P,[-[|IC][-[~U]P]],- | I C - ~ U P ,- | - I C ~ P ? ? ? ? U ? ? ? ,I C | U ~ P - - 
N^Q^~D^W|~G,[|[^[^[^NQ][~D]]W][~G]],| ^ ^ ^ N Q ~ D W ~ G ,| ^ ~ ^ W G ? ^ ~ ? ? ? ? ? N Q D ? ? ? ? ? ? ,N Q ^ D ~ ^ W ^ G ~ | 
S|S-H^J|~A,[-[|SS][|[^HJ][~A]]],- | S S | ^ H J ~ A ,- | | S S ^ ~ ? ? ? ? H J A ? ,S S | H J ^ A ~ | - 
D|S|~Y,[|[|DS][~Y]],| | D S ~ Y ,| | ~ D S Y ? ,D S | Y ~ | 
~R|X|~P^D,[|[|[~R]X][^[~P]D]],| | ~ R X ^ ~ P D ,| | ^ ~ X ~ D R ? ? ? P ? ? ? ,R ~ X | P ~ D ^ | 
~L|C^C,[|[~L][^CC]],| ~ L ^ C C ,| ~ ^ L ? C C ,L ~ C C ^ | 
T^~V^V-K^~P,[-[^[^T[~V]]V][^K[~P]]],- ^ ^ T ~ V V ^ K ~ P ,- ^ ^ ^ V K ~ T ~ ? ? ? ? P ? ? ? V ? ? ? ? ? ? ? ? ,T V ~ ^ V ^ K P ~ ^ - 
Z|O|~N^~L^T,[|[|ZO][^[^[~N][~L]]T]],| | Z O ^ ^ ~ N ~ L T ,| | ^ Z O ^ T ? ? ? ? ~ ~ ? ? ? ? ? ? N ? L ? ? ? ,Z O | N ~ L ~ ^ T ^ | 
~G|~Z^~O-S,[-[|[~G][^[~Z][~O]]]S],- | ~ G ^ ~ Z ~ O S ,- | S ~ ^ ? ? G ? ~ ~ ? ? ? ? ? Z ? O ? ? ? ,G ~ Z ~ O ~ ^ | S - 
~V|~W^B-~S,[-[|[~V][^[~W]B]][~S]],- | ~ V ^ ~ W B ~ S ,- | ~ ~ ^ S ? V ? ~ B ? ? ? ? ? ? W ? ? ? ? ? ? ,V ~ W ~ B ^ | S ~ - 
O^D-Z|~K^H,[-[^OD][|Z[^[~K]H]]],- ^ O D | Z ^ ~ K H ,- ^ | O D Z ^ ? ? ? ? ? ? ~ H ? ? ? ? ? ? K ? ? ? ,O D ^ Z K ~ H ^ | - 
U-H^C^~T-~S,[-U[-[^[^HC][~T]][~S]]],- U - ^ ^ H C ~ T ~ S ,- U - ? ? ^ ~ ? ? ^ ~ S ? ? ? H C T ? ? ? ? ,U H C ^ T ~ ^ S ~ - - 
~Y|~F-~I^I^~X,[-[|[~Y][~F]][^[^[~I]I][~X]]],- | ~ Y ~ F ^ ^ ~ I I ~ X ,- | ^ ~ ~ ^ ~ Y ? F ? ~ I X ? ? ? ? ? ? ? I ? ? ? ? ? ? ,Y ~ F ~ | I ~ I ^ X ~ ^ - 
~U|K-~X,[-[|[~U]K][~X]],- | ~ U K ~ X ,- | ~ ~ K X ? U ? ? ? ? ? ? ,U ~ K | X ~ - 
Z|R-~K,[-[|ZR][~K]],- | Z R ~ K ,- | ~ Z R K ? ,Z R | K ~ - 
~N^P|N^K,[|[^[~N]P][^NK]],| ^ ~ N P ^ N K ,| ^ ^ ~ P N K N ? ? ? ? ? ? ? ,N ~ P ^ N K ^ | 
~B-~G-~D-L,[-[~B][-[~G][-[~D]L]]],- ~ B - ~ G - ~ D L ,- ~ - B ? ~ - ? ? ? G ? ~ L ? ? ? ? ? ? D ? ? ? ,B ~ G ~ D ~ L - - - 
Q|~K|~A|O,[|[|[|Q[~K]][~A]]O],| | | Q ~ K ~ A O ,| | O | ~ ? ? Q ~ A ? ? ? ? ? K ? ? ? ? ? ? ,Q K ~ | A ~ | O | 
N-I^J,[-N[^IJ]],#NAME?,- N ^ ? ? I J ,N I J ^ - 
~T-~B|~Y-~S|G,[-[~T][-[|[~B][~Y]][|[~S]G]]],- ~ T - | ~ B ~ Y | ~ S G ,- ~ - T ? | | ? ? ? ~ ~ ~ G ? ? ? B ? Y ? S ? ? ? ,T ~ B ~ Y ~ | S ~ G | - - 
~R^~K|~P-~E,[-[|[^[~R][~K]][~P]][~E]],- | ^ ~ R ~ K ~ P ~ E ,- | ~ ^ ~ E ? ~ ~ P ? ? ? ? R ? K ? ? ? ? ? ? ? ,R ~ K ~ ^ P ~ | E ~ - 
C-U^~P-~T^O,[-C[-[^U[~P]][^[~T]O]]],- C - ^ U ~ P ^ ~ T O ,- C - ? ? ^ ^ ? ? U ~ ~ O ? ? ? ? P ? T ? ? ? ,C U P ~ ^ T ~ O ^ - - 
G^~S^S|I^R,[|[^[^G[~S]]S][^IR]],| ^ ^ G ~ S S ^ I R ,| ^ ^ ^ S I R G ~ ? ? ? ? ? ? ? ? S ? ? ? ? ? ? ? ,G S ~ ^ S ^ I R ^ | 
~B^Q^~D^Z,[^[^[^[~B]Q][~D]]Z],^ ^ ^ ~ B Q ~ D Z ,^ ^ Z ^ ~ ? ? ~ Q D ? ? ? B ? ? ? ? ? ? ? ? ,B ~ Q ^ D ~ ^ Z ^ 
Y|A|~O|L|P,[|[|[|[|YA][~O]]L]P],| | | | Y A ~ O L P ,| | P | L ? ? | ~ ? ? ? ? Y A O ? ? ? ? ? ,Y A | O ~ | L | P | 
~T^~V|U^~K-P,[-[|[^[~T][~V]][^U[~K]]]P],- | ^ ~ T ~ V ^ U ~ K P ,- | P ^ ^ ? ? ~ ~ U ~ ? ? T ? V ? ? ? K ? ? ? ,T ~ V ~ ^ U K ~ ^ | P - 
V-~M^~Y^U^~X,[-V[^[^[^[~M][~Y]]U][~X]]],- V ^ ^ ^ ~ M ~ Y U ~ X ,- V ^ ? ? ^ ~ ? ? ^ U X ? ? ? ~ ~ ? ? ? ? ? ? ? M ? Y ? ? ? ? ? ? ,V M ~ Y ~ ^ U ^ X ~ ^ - 
T|O|~I,[|[|TO][~I]],| | T O ~ I ,| | ~ T O I ? ,T O | I ~ | 
~J^~R^~Y,[^[^[~J][~R]][~Y]],^ ^ ~ J ~ R ~ Y ,^ ^ ~ ~ ~ Y ? J ? R ? ? ? ? ,J ~ R ~ ^ Y ~ ^ 
~S^T|~J|Z^~D,[|[|[^[~S]T][~J]][^Z[~D]]],| | ^ ~ S T ~ J ^ Z ~ D ,| | ^ ^ ~ Z ~ ~ T J ? ? ? D ? S ? ? ? ? ? ? ? ? ? ? ? ,S ~ T ^ J ~ | Z D ~ ^ | 
~A^~H|Y,[|[^[~A][~H]]Y],| ^ ~ A ~ H Y ,| ^ Y ~ ~ ? ? A ? H ? ? ? ,A ~ H ~ ^ Y | 
~C^~A|J,[|[^[~C][~A]]J],| ^ ~ C ~ A J ,| ^ J ~ ~ ? ? C ? A ? ? ? ,C ~ A ~ ^ J | 
~R-~L^~N-~W,[-[~R][-[^[~L][~N]][~W]]],- ~ R - ^ ~ L ~ N ~ W ,- ~ - R ? ^ ~ ? ? ? ~ ~ W ? ? ? ? L ? N ? ? ? ? ,R ~ L ~ N ~ ^ W ~ - - 
~D^M|U^R,[|[^[~D]M][^UR]],| ^ ~ D M ^ U R ,| ^ ^ ~ M U R D ? ? ? ? ? ? ? ,D ~ M ^ U R ^ | 
~G^O^~I,[^[^[~G]O][~I]],^ ^ ~ G O ~ I ,^ ^ ~ ~ O I ? G ? ? ? ? ? ? ,G ~ O ^ I ~ ^ 
O|~X|B^~J,[|[|O[~X]][^B[~J]]],| | O ~ X ^ B ~ J ,| | ^ O ~ B ~ ? ? X ? ? ? J ? ,O X ~ | B J ~ ^ | 
~M-~L-E^~R^U,[-[~M][-[~L][^[^E[~R]]U]]],- ~ M - ~ L ^ ^ E ~ R U ,- ~ - M ? ~ ^ ? ? ? L ? ^ U ? ? ? ? ? ? E ~ ? ? ? ? ? ? ? ? ? ? R ? ? ? ,M ~ L ~ E R ~ ^ U ^ - - 
L|~N-~Q,[-[|L[~N]][~Q]],- | L ~ N ~ Q ,- | ~ L ~ Q ? ? ? N ? ? ? ? ,L N ~ | Q ~ - 
L|~D|~S,[|[|L[~D]][~S]],| | L ~ D ~ S ,| | ~ L ~ S ? ? ? D ? ? ? ? ,L D ~ | S ~ | 
Z^~R-I,[-[^Z[~R]]I],- ^ Z ~ R I ,- ^ I Z ~ ? ? ? ? R ? ? ? ,Z R ~ ^ I - 
~B|B-~Y,[-[|[~B]B][~Y]],- | ~ B B ~ Y ,- | ~ ~ B Y ? B ? ? ? ? ? ? ,B ~ B | Y ~ - 
F-A-~P,[-F[-A[~P]]],- F - A ~ P ,- F - ? ? A ~ ? ? ? ? P ? ,F A P ~ - - 
~G|~J-~V|N,[-[|[~G][~J]][|[~V]N]],- | ~ G ~ J | ~ V N ,- | | ~ ~ ~ N G ? J ? V ? ? ? ,G ~ J ~ | V ~ N | - 
R-~E^B|G|F,[-R[|[|[^[~E]B]G]F]],- R | | ^ ~ E B G F ,- R | ? ? | F ? ? ^ G ? ? ? ? ~ B ? ? ? ? ? ? E ? ? ? ? ? ? ? ,R E ~ B ^ G | F | - 
I-O|O-C,[-I[-[|OO]C]],- I - | O O C ,- I - ? ? | C ? ? O O ? ? ,I O O | C - - 
~M|V|~V,[|[|[~M]V][~V]],| | ~ M V ~ V ,| | ~ ~ V V ? M ? ? ? ? ? ? ,M ~ V | V ~ | 
~R|~M-B^~Z|~G,[-[|[~R][~M]][|[^B[~Z]][~G]]],- | ~ R ~ M | ^ B ~ Z ~ G ,- | | ~ ~ ^ ~ R ? M ? B ~ G ? ? ? ? ? ? ? ? ? Z ? ? ? ? ,R ~ M ~ | B Z ~ ^ G ~ | - 
~Z^Y-A,[-[^[~Z]Y]A],- ^ ~ Z Y A ,- ^ A ~ Y ? ? Z ? ? ? ? ? ,Z ~ Y ^ A - 
~U^~J^~Y^~J,[^[^[^[~U][~J]][~Y]][~J]],^ ^ ^ ~ U ~ J ~ Y ~ J ,^ ^ ~ ^ ~ J ? ~ ~ Y ? ? ? ? U ? J ? ? ? ? ? ? ? ,U ~ J ~ ^ Y ~ ^ J ~ ^ 
J-M^~S-M,[-J[-[^M[~S]]M]],- J - ^ M ~ S M ,- J - ? ? ^ M ? ? M ~ ? ? ? ? ? ? S ? ? ? ,J M S ~ ^ M - - 
Q-~O^~W|N,[-Q[|[^[~O][~W]]N]],- Q | ^ ~ O ~ W N ,- Q | ? ? ^ N ? ? ~ ~ ? ? ? ? O ? W ? ? ? ,Q O ~ W ~ ^ N | - 
~T^~P^E-~E,[-[^[^[~T][~P]]E][~E]],- ^ ^ ~ T ~ P E ~ E ,- ^ ~ ^ E E ? ~ ~ ? ? ? ? ? T ? P ? ? ? ? ? ? ,T ~ P ~ ^ E ^ E ~ - 
~D^C|M|G|B,[|[|[|[^[~D]C]M]G]B],| | | ^ ~ D C M G B ,| | B | G ? ? ^ M ? ? ? ? ~ C ? ? ? ? ? ? D ? ? ? ? ? ? ? ? ? ,D ~ C ^ M | G | B | 
F|X^K,[|F[^XK]],| F ^ X K ,| F ^ ? ? X K ,F X K ^ | 
B^F-~Y|X,[-[^BF][|[~Y]X]],- ^ B F | ~ Y X ,- ^ | B F ~ X ? ? ? ? Y ? ? ? ,B F ^ Y ~ X | - 
E|R|H^~V,[|[|ER][^H[~V]]],| | E R ^ H ~ V ,| | ^ E R H ~ ? ? ? ? ? ? V ? ,E R | H V ~ ^ | 
T|~E-Y-~W,[-[|T[~E]][-Y[~W]]],- | T ~ E - Y ~ W ,- | - T ~ Y ~ ? ? E ? ? ? W ? ,T E ~ | Y W ~ - - 
E|~F^~S-~G-~M,[-[|E[^[~F][~S]]][-[~G][~M]]],- | E ^ ~ F ~ S - ~ G ~ M ,- | - E ^ ~ ~ ? ? ~ ~ G ? M ? ? ? F ? S ? ? ? ? ? ? ? ,E F ~ S ~ ^ | G ~ M ~ - - 
~K|~H-~X-B^~O,[-[|[~K][~H]][-[~X][^B[~O]]]],- | ~ K ~ H - ~ X ^ B ~ O ,- | - ~ ~ ~ ^ K ? H ? X ? B ~ ? ? ? ? ? ? ? ? ? ? ? O ? ,K ~ H ~ | X ~ B O ~ ^ - - 
O-J-W^F|~D,[-O[-J[|[^WF][~D]]]],- O - J | ^ W F ~ D ,- O - ? ? J | ? ? ? ? ^ ~ ? ? ? ? W F D ? ,O J W F ^ D ~ | - - 
I^W^Q|K^V,[|[^[^IW]Q][^KV]],| ^ ^ I W Q ^ K V ,| ^ ^ ^ Q K V I W ? ? ? ? ? ? ,I W ^ Q ^ K V ^ | 
Z^L|T|Q,[|[|[^ZL]T]Q],| | ^ Z L T Q ,| | Q ^ T ? ? Z L ? ? ? ? ,Z L ^ T | Q | 
X-~G-I,[-X[-[~G]I]],- X - ~ G I ,- X - ? ? ~ I ? ? G ? ? ? ,X G ~ I - - 
~U^~K-Q|~V|B,[-[^[~U][~K]][|[|Q[~V]]B]],- ^ ~ U ~ K | | Q ~ V B ,- ^ | ~ ~ | B U ? K ? Q ~ ? ? ? ? ? ? ? ? ? ? V ? ? ? ,U ~ K ~ ^ Q V ~ | B | - 
~U|N-A,[-[|[~U]N]A],- | ~ U N A ,- | A ~ N ? ? U ? ? ? ? ? ,U ~ N | A - 
~G^~A|~R|F^E,[|[|[^[~G][~A]][~R]][^FE]],| | ^ ~ G ~ A ~ R ^ F E ,| | ^ ^ ~ F E ~ ~ R ? ? ? ? ? G ? A ? ? ? ? ? ? ? ? ,G ~ A ~ ^ R ~ | F E ^ | 
~T-O^M|~K^F,[-[~T][|[^OM][^[~K]F]]],- ~ T | ^ O M ^ ~ K F ,- ~ | T ? ^ ^ ? ? ? O M ~ F ? ? ? ? ? ? ? K ? ? ? ,T ~ O M ^ K ~ F ^ | - 
~M-K|D-~V-R,[-[~M][-[|KD][-[~V]R]]],- ~ M - | K D - ~ V R ,- ~ - M ? | - ? ? ? K D ~ R ? ? ? ? ? ? ? V ? ? ? ,M ~ K D | V ~ R - - - 
G^Z-~J|~W|~M,[-[^GZ][|[|[~J][~W]][~M]]],- ^ G Z | | ~ J ~ W ~ M ,- ^ | G Z | ~ ? ? ? ? ~ ~ M ? ? ? ? ? J ? W ? ? ? ? ,G Z ^ J ~ W ~ | M ~ | - 
~W-H^T|R-S,[-[~W][-[|[^HT]R]S]],- ~ W - | ^ H T R S ,- ~ - W ? | S ? ? ? ^ R ? ? ? ? ? H T ? ? ? ? ,W ~ H T ^ R | S - - 
R-Q|R|~W|~K,[-R[|[|[|QR][~W]][~K]]],- R | | | Q R ~ W ~ K ,- R | ? ? | ~ ? ? | ~ K ? ? ? Q R W ? ? ? ? ,R Q R | W ~ | K ~ | - 
~C^J^G-~H,[-[^[^[~C]J]G][~H]],- ^ ^ ~ C J G ~ H ,- ^ ~ ^ G H ? ~ J ? ? ? ? ? C ? ? ? ? ? ? ? ? ,C ~ J ^ G ^ H ~ - 
~C-W-F-~K,[-[~C][-W[-F[~K]]]],- ~ C - W - F ~ K ,- ~ - C ? W - ? ? ? ? ? F ~ ? ? ? ? ? ? ? K ? ,C ~ W F K ~ - - - 
A|~F|O,[|[|A[~F]]O],| | A ~ F O ,| | O A ~ ? ? ? ? F ? ? ? ,A F ~ | O | 
~P|X-~S|E,[-[|[~P]X][|[~S]E]],- | ~ P X | ~ S E ,- | | ~ X ~ E P ? ? ? S ? ? ? ,P ~ X | S ~ E | - 
~L-T|~L,[-[~L][|T[~L]]],- ~ L | T ~ L ,- ~ | L ? T ~ ? ? ? ? ? L ? ,L ~ T L ~ | - 
~Q-F-~D-~I,[-[~Q][-F[-[~D][~I]]]],- ~ Q - F - ~ D ~ I ,- ~ - Q ? F - ? ? ? ? ? ~ ~ ? ? ? ? ? D ? I ? ,Q ~ F D ~ I ~ - - - 
D|Z|V,[|[|DZ]V],| | D Z V ,| | V D Z ? ? ,D Z | V | 
~I^~T^L-V-~W,[-[^[^[~I][~T]]L][-V[~W]]],- ^ ^ ~ I ~ T L - V ~ W ,- ^ - ^ L V ~ ~ ~ ? ? ? ? W ? I ? T ? ? ? ? ? ? ? ? ,I ~ T ~ ^ L ^ V W ~ - - 
~E-~X^Z^~J,[-[~E][^[^[~X]Z][~J]]],- ~ E ^ ^ ~ X Z ~ J ,- ~ ^ E ? ^ ~ ? ? ? ~ Z J ? ? ? ? X ? ? ? ? ? ? ,E ~ X ~ Z ^ J ~ ^ - 
~Q|A-~M-~W,[-[|[~Q]A][-[~M][~W]]],- | ~ Q A - ~ M ~ W ,- | - ~ A ~ ~ Q ? ? ? M ? W ? ,Q ~ A | M ~ W ~ - - 
Z^I-U^~Y,[-[^ZI][^U[~Y]]],- ^ Z I ^ U ~ Y ,- ^ ^ Z I U ~ ? ? ? ? ? ? Y ? ,Z I ^ U Y ~ ^ - 
~U^~X^P,[^[^[~U][~X]]P],^ ^ ~ U ~ X P ,^ ^ P ~ ~ ? ? U ? X ? ? ? ,U ~ X ~ ^ P ^ 
F-O|~L,[-F[|O[~L]]],- F | O ~ L ,- F | ? ? O ~ ? ? ? ? L ? ,F O L ~ | - 
~Z|~H-~F^J^~M,[-[|[~Z][~H]][^[^[~F]J][~M]]],- | ~ Z ~ H ^ ^ ~ F J ~ M ,- | ^ ~ ~ ^ ~ Z ? H ? ~ J M ? ? ? ? ? ? ? F ? ? ? ? ? ? ,Z ~ H ~ | F ~ J ^ M ~ ^ - 
C-N-S,[-C[-NS]],- C - N S ,- C - ? ? N S ,C N S - - 
~S^I^~X-Y^R,[-[^[^[~S]I][~X]][^YR]],- ^ ^ ~ S I ~ X ^ Y R ,- ^ ^ ^ ~ Y R ~ I X ? ? ? ? ? S ? ? ? ? ? ? ? ? ? ? ,S ~ I ^ X ~ ^ Y R ^ - 
V|~A-~D-~E-~R,[-[|V[~A]][-[~D][-[~E][~R]]]],- | V ~ A - ~ D - ~ E ~ R ,- | - V ~ ~ - ? ? A ? D ? ~ ~ ? ? ? ? ? ? ? ? E ? R ? ,V A ~ | D ~ E ~ R ~ - - - 
R^N|Z^U-~S,[-[|[^RN][^ZU]][~S]],- | ^ R N ^ Z U ~ S ,- | ~ ^ ^ S ? R N Z U ? ? ? ,R N ^ Z U ^ | S ~ - 
I-H^~K^T|~A,[-I[|[^[^H[~K]]T][~A]]],- I | ^ ^ H ~ K T ~ A ,- I | ? ? ^ ~ ? ? ^ T A ? ? ? H ~ ? ? ? ? ? ? ? ? ? K ? ? ? ? ? ? ,I H K ~ ^ T ^ A ~ | - 
Y^N|R,[|[^YN]R],| ^ Y N R ,| ^ R Y N ? ? ,Y N ^ R | 
~L-~M^~C^A,[-[~L][^[^[~M][~C]]A]],- ~ L ^ ^ ~ M ~ C A ,- ~ ^ L ? ^ A ? ? ? ~ ~ ? ? ? ? ? M ? C ? ? ? ,L ~ M ~ C ~ ^ A ^ - 
L|H-~X,[-[|LH][~X]],- | L H ~ X ,- | ~ L H X ? ,L H | X ~ - 
K^~E^J^Z|~U,[|[^[^[^K[~E]]J]Z][~U]],| ^ ^ ^ K ~ E J Z ~ U ,| ^ ~ ^ Z U ? ^ J ? ? ? ? ? K ~ ? ? ? ? ? ? ? ? ? E ? ? ? ? ? ? ? ? ,K E ~ ^ J ^ Z ^ U ~ | 
O^~Z|~Q-N,[-[|[^O[~Z]][~Q]]N],- | ^ O ~ Z ~ Q N ,- | N ^ ~ ? ? O ~ Q ? ? ? ? ? Z ? ? ? ? ? ? ,O Z ~ ^ Q ~ | N - 
~N|X^Z^~O,[|[~N][^[^XZ][~O]]],| ~ N ^ ^ X Z ~ O ,| ~ ^ N ? ^ ~ ? ? ? X Z O ? ,N ~ X Z ^ O ~ ^ | 
~H^Q-P,[-[^[~H]Q]P],- ^ ~ H Q P ,- ^ P ~ Q ? ? H ? ? ? ? ? ,H ~ Q ^ P - 
~V|U|~I-~W,[-[|[|[~V]U][~I]][~W]],- | | ~ V U ~ I ~ W ,- | ~ | ~ W ? ~ U I ? ? ? ? V ? ? ? ? ? ? ? ? ? ,V ~ U | I ~ | W ~ - 
K^~Y-~Q^X|O,[-[^K[~Y]][|[^[~Q]X]O]],- ^ K ~ Y | ^ ~ Q X O ,- ^ | K ~ ^ O ? ? Y ? ~ X ? ? ? ? ? ? ? Q ? ? ? ? ? ,K Y ~ ^ Q ~ X ^ O | - 
